CustomerID,FullName,Region,TotalOrders,TotalRevenue,TotalRevenuePerRegion,TotalOrdersPerRegion,AverageOrderValue,TotalQuantityPurchased,TotalProductsPurchased,FirstPurchaseDate,LastPurchaseDate,CustomerLifespanMonths,AverageMonthlySpend,CustomerSegment
29818,Roger Harui,Northwest,12,877107.192220999,16084942.547585148,4594,73092.27,1558,81,2011-07-01,2014-03-31,32,27409.6,VIP
29715,Andrew Dixon,Southeast,12,853849.1795239997,7879655.072151,486,71154.1,1322,82,2011-08-01,2014-05-01,33,25874.22,VIP
29722,Reuben D'sa,Canada,12,841908.7707069983,16355770.454862092,4067,70159.06,2737,118,2011-08-01,2014-05-01,33,25512.39,VIP
30117,Robert Vessa,Southwest,12,816755.5762759997,24184609.600810263,6224,68062.96,1736,93,2011-07-01,2014-03-31,32,25523.61,VIP
29614,Ryan Calafato,Canada,12,799277.895061999,16355770.454862092,4067,66606.49,1931,91,2011-05-31,2014-03-01,34,23508.17,VIP
29639,Joseph Castellucio,Canada,12,787773.0437680001,16355770.454862092,4067,65647.75,1708,88,2011-08-01,2014-05-01,33,23871.91,VIP
29701,Kirk DeGrasse,Northeast,8,746317.5292569991,6939374.481004997,352,93289.69,1688,82,2012-07-31,2014-05-01,22,33923.52,VIP
29617,Lindsey Camacho,Northwest,12,740985.8337419992,16084942.547585148,4594,61748.82,1344,84,2011-07-01,2014-03-31,32,23155.81,VIP
29994,Robin McGuigan,Canada,12,730798.7139140002,16355770.454862092,4067,60899.89,1408,79,2011-05-31,2014-03-01,34,21494.08,VIP
29646,Stacey Cereghino,Southwest,12,727272.6493670002,24184609.600810263,6224,60606.05,1344,75,2011-05-31,2014-03-01,34,21390.37,VIP
29580,Richard Bready,Northwest,12,724299.6364709992,16084942.547585148,4594,60358.3,1578,92,2011-05-31,2014-03-01,34,21302.93,VIP
29827,Valerie Hendricks,Central,12,711864.7624470001,7909009.005872,385,59322.06,1155,74,2011-05-31,2014-03-01,34,20937.2,VIP
29497,François Ferrier,Northwest,12,700803.785335,16084942.547585148,4594,58400.32,1382,79,2011-05-31,2014-03-01,34,20611.88,VIP
29716,Blaine Dockter,Southwest,12,693502.485224,24184609.600810263,6224,57791.87,1488,92,2011-07-01,2014-03-31,32,21671.95,VIP
29913,Anton Kirilov,Central,8,671618.0294589998,7909009.005872,385,83952.25,1946,87,2012-06-30,2014-03-31,21,31981.81,VIP
30103,Mandy Vance,France,8,643745.8958240007,7251555.646926051,2672,80468.24,2129,90,2012-06-30,2014-03-31,21,30654.57,VIP
29957,Kevin Liu,Southwest,8,636226.4699799996,24184609.600810263,6224,79528.31,2554,90,2012-07-31,2014-05-01,22,28919.38,VIP
29523,John Arthur,Southwest,12,618616.1281520001,24184609.600810263,6224,51551.34,1579,99,2011-07-01,2014-03-31,32,19331.75,VIP
29616,Barbara Calone,Southwest,8,617340.4579239993,24184609.600810263,6224,77167.56,1471,84,2012-06-30,2014-03-31,21,29397.16,VIP
30048,Marcia Sultan,Canada,8,602559.8925679999,16355770.454862092,4067,75319.99,2350,106,2012-05-30,2014-03-01,22,27389.09,VIP
29772,Janet Gates,Southwest,8,586524.9473839999,24184609.600810263,6224,73315.62,980,57,2012-05-30,2014-03-01,22,26660.22,VIP
29562,Steven Brown,Southwest,8,585516.432817,24184609.600810263,6224,73189.55,884,56,2011-08-01,2013-04-30,20,29275.82,VIP
29712,Holly Dickson,France,8,580222.3282770006,7251555.646926051,2672,72527.79,2313,106,2012-06-30,2014-03-31,21,27629.63,VIP
30107,Margaret Vanderkamp,Northwest,12,577089.5723239998,16084942.547585148,4594,48090.8,1782,107,2011-07-01,2014-03-31,32,18034.05,VIP
29924,Mitch Kennedy,Central,8,572035.112102,7909009.005872,385,71504.39,1386,77,2012-06-30,2014-03-31,21,27239.77,VIP
30050,Krishna Sunkammurali,United Kingdom,8,559620.9460869994,7670721.035475045,3219,69952.62,1351,82,2012-07-31,2014-05-01,22,25437.32,VIP
29966,Richard Lum,Northeast,12,537528.0958679998,6939374.481004997,352,44794.01,2076,97,2011-08-01,2014-05-01,33,16288.73,VIP
29997,Lola McCarthy,Northwest,8,536546.1194429998,16084942.547585148,4594,67068.26,1776,100,2012-06-30,2014-03-31,21,25549.82,VIP
29641,Raul Casts,Southwest,4,534956.2786030002,24184609.600810263,6224,133739.07,1363,60,2013-05-30,2014-03-01,10,53495.63,VIP
29689,Scott Culp,Northwest,8,532224.757192,16084942.547585148,4594,66528.09,1532,80,2012-05-30,2014-03-01,22,24192.03,VIP
29486,Kim Abercrombie,Central,12,519411.35631999973,7909009.005872,385,43284.28,1058,92,2011-08-01,2014-05-01,33,15739.74,VIP
29522,Thomas Armstrong,Southwest,12,492362.7632900009,24184609.600810263,6224,41030.23,1337,98,2011-07-01,2014-03-31,32,15386.34,VIP
29705,Della Demott Jr,Canada,12,482738.7049419997,16355770.454862092,4067,40228.23,1963,93,2011-07-01,2014-03-31,32,15085.58,VIP
30112,Patricia Vasquez,Northwest,8,477957.27149999945,16084942.547585148,4594,59744.66,990,75,2012-06-30,2014-03-31,21,22759.87,VIP
29546,Christopher Beck,United Kingdom,8,474401.852776,7670721.035475045,3219,59300.23,1126,82,2012-07-31,2014-05-01,22,21563.72,VIP
